title,type,release_year,runtime,seasons,imdb_score,imdb_votes,lead_production,production_countries_cnt,lead_genres,genres_cnt,movie_cluster,dbscan_clusters
Luv Ni Love Storys,MOVIE,2020,142,0.0,7.0,458.0,IN,1,drama,2,40,40
Cocktail,MOVIE,2020,134,0.0,6.1,464.0,IN,1,comedy,1,18,18
Christmas Coupon,MOVIE,2019,92,0.0,3.3,210.0,US,1,romance,1,1,1
Paranormal Doorways,MOVIE,2020,91,0.0,6.1,464.0,GB,1,horror,1,42,42
Transcendental Layover,MOVIE,2020,81,0.0,6.9,14.0,,1,crime,2,179,179
Middle Class Melodies,MOVIE,2020,135,0.0,7.8,3645.0,IN,1,comedy,3,18,18
Stealing Chaplin,MOVIE,2020,105,0.0,5.3,103.0,CA,1,drama,1,82,82
Devi 2,MOVIE,2019,126,0.0,3.9,371.0,IN,1,horror,2,146,146
Attack of the Demons,MOVIE,2019,74,0.0,5.8,162.0,US,1,horror,2,7,7
Hotel Limbo,MOVIE,2020,90,0.0,5.4,93.0,CA,1,romance,3,131,131
"Nowhere, Michigan",MOVIE,2019,95,0.0,5.3,109.0,US,1,thriller,2,3,3
Skydog,MOVIE,2020,109,0.0,3.0,132.0,US,1,family,2,17,17
Bharaate,MOVIE,2019,166,0.0,4.7,238.0,IN,1,drama,2,40,40
Kaappaan,MOVIE,2019,166,0.0,6.2,5715.0,IN,1,action,3,59,59
The Irish Comedy Tour,MOVIE,2019,59,0.0,5.3,9.0,US,1,comedy,1,2,2
White Savior: Racism in the American Church,MOVIE,2019,62,0.0,5.5,215.0,,1,documentation,2,143,143
Cradles for Cash,MOVIE,2019,86,0.0,4.0,128.0,US,1,drama,1,5,5
The Creatress,MOVIE,2019,110,0.0,4.2,174.0,US,1,drama,2,5,5
Magamuni,MOVIE,2019,150,0.0,7.8,2207.0,IN,1,thriller,3,60,60
Snowbound for Christmas,MOVIE,2019,83,0.0,5.2,640.0,CA,1,comedy,2,41,41
The Alpha Test,MOVIE,2020,87,0.0,3.4,522.0,,1,horror,3,70,70
Matt Braunger: Finally Live in Portland,MOVIE,2019,67,0.0,7.4,33.0,US,1,comedy,1,2,2
Miss Truth,SHOW,2020,41,1.0,8.3,62.0,CN,1,drama,3,145,145
Choosi Choodangaane,MOVIE,2020,113,0.0,6.4,150.0,IN,1,drama,2,40,40
Celeste Barber: Challenge Accepted,MOVIE,2019,59,0.0,6.1,464.0,US,1,comedy,1,2,2
My Story,MOVIE,2019,90,0.0,5.3,66.0,CZ,1,drama,2,169,169
Ghost Box,MOVIE,2019,61,0.0,3.5,73.0,US,1,drama,2,5,5
George Reddy,MOVIE,2019,153,0.0,6.9,746.0,IN,1,action,1,59,59
Fake Princess,SHOW,2020,47,1.0,6.1,464.0,CN,1,,1,-1,-1
Crucifixion Quake,MOVIE,2020,102,0.0,6.8,18.0,US,1,documentation,1,11,11
Aadai,MOVIE,2019,143,0.0,6.2,1355.0,IN,1,thriller,2,60,60
The Sneak Over,MOVIE,2020,84,0.0,5.6,66.0,US,1,family,1,17,17
The Outsider,MOVIE,2019,86,0.0,6.1,464.0,US,1,western,1,4,4
Pegasus,MOVIE,2019,98,0.0,6.3,1727.0,CN,1,comedy,3,136,136
Indha Nilai Maarum,MOVIE,2020,100,0.0,6.4,29.0,IN,1,drama,2,40,40
Qin Dynasty Epic,SHOW,2020,45,1.0,6.5,90.0,CN,1,drama,2,145,145
Penny Land,MOVIE,2019,80,0.0,5.4,7.0,US,1,comedy,2,2,2
25 Sets,MOVIE,2019,58,0.0,6.8,22.0,US,1,documentation,2,11,11
Blunderpuss,MOVIE,2020,72,0.0,4.2,28.0,XX,1,comedy,2,101,101
To Hell and Gone,MOVIE,2019,82,0.0,5.7,242.0,US,1,western,1,4,4
V1 Murder Case,MOVIE,2019,112,0.0,7.0,1301.0,IN,1,thriller,2,60,60
Milan Talkies,MOVIE,2019,141,0.0,5.0,364.0,IN,1,drama,2,40,40
Kannadi,MOVIE,2019,135,0.0,7.2,11.0,IN,1,romance,5,72,72
Choricha Mamla,MOVIE,2020,134,0.0,6.5,250.0,IN,1,drama,2,40,40
Urartu. The Forgotten Kingdom,MOVIE,2020,50,0.0,6.5,53.0,RU,2,drama,2,154,154
Time Sleeper,MOVIE,2020,93,0.0,4.1,52.0,CA,1,scifi,2,88,88
A Sunburnt Christmas,MOVIE,2020,100,0.0,6.8,673.0,AU,1,crime,2,98,98
Loco,MOVIE,2020,80,0.0,6.1,464.0,GB,1,thriller,2,9,9
Jeff Allen: Honor Thy Wife,MOVIE,2020,31,0.0,6.1,464.0,,1,,1,13,13
Bigfoot: The Conspiracy,MOVIE,2020,77,0.0,3.9,104.0,,1,thriller,1,118,118
Ponmagal Vandhal,MOVIE,2020,120,0.0,6.8,2962.0,IN,1,thriller,3,60,60
Yakov Smirnoff: United We Laugh,MOVIE,2020,75,0.0,6.1,464.0,,1,comedy,1,67,67
Pogey Beach,MOVIE,2019,94,0.0,4.2,123.0,CA,1,comedy,1,41,41
Victoria,MOVIE,2020,90,0.0,6.3,41.0,RU,1,comedy,2,-1,-1
Carlinhos & Carḷo,MOVIE,2020,93,0.0,6.3,381.0,BR,1,comedy,2,138,138
N.T.R: Kathanayakudu,MOVIE,2019,170,0.0,5.8,2013.0,IN,1,drama,1,40,40
Good Kisser,MOVIE,2019,74,0.0,4.3,361.0,US,1,drama,3,5,5
Gangs of Madras,MOVIE,2019,142,0.0,5.4,167.0,IN,1,drama,2,40,40
Maggie Shayne's Embrace the Twilight,MOVIE,2019,142,0.0,4.5,23.0,US,1,romance,5,1,1
It Stopped Raining,MOVIE,2020,99,0.0,6.0,84.0,JP,1,drama,1,62,62
Khandaani Shafakhana,MOVIE,2019,136,0.0,4.3,1905.0,IN,1,drama,2,40,40
House of Quarantine,MOVIE,2020,81,0.0,6.6,766.0,US,1,thriller,1,3,3
Second Life,MOVIE,2019,70,0.0,6.1,85.0,KR,1,drama,1,139,139
Blanco,MOVIE,2020,88,0.0,6.2,30.0,US,1,drama,2,5,5
Ghost in the Graveyard,MOVIE,2019,92,0.0,4.4,2326.0,US,1,drama,5,5,5
Decoding COVID-19,MOVIE,2020,53,0.0,6.1,464.0,,1,documentation,1,143,143
When the Moon Was Full,MOVIE,2019,131,0.0,6.8,3313.0,IR,1,drama,4,-1,-1
Prawaas,MOVIE,2020,133,0.0,8.0,186.0,IN,1,drama,2,40,40
47 Days,MOVIE,2020,130,0.0,5.1,119.0,IN,1,thriller,2,60,60
Qu̩bexit,MOVIE,2020,80,0.0,7.6,19.0,CA,1,comedy,2,41,41
Film Adventure,MOVIE,2019,87,0.0,6.1,464.0,KR,1,drama,1,139,139
Red Devil,MOVIE,2019,93,0.0,6.1,464.0,GB,1,thriller,1,9,9
Mambo Man,MOVIE,2020,82,0.0,8.6,80.0,CU,2,drama,1,-1,-1
The Farmer and the Belle: Saving Santaland,MOVIE,2020,91,0.0,6.0,523.0,US,1,comedy,3,2,2
A Place Called Hollywood,SHOW,2019,21,1.0,6.0,690.0,US,1,drama,1,30,30
99,MOVIE,2019,144,0.0,6.3,443.0,,1,drama,1,20,20
Intolerance: No More,MOVIE,2020,80,0.0,3.5,102.0,US,1,drama,1,5,5
The Man Who Walked Around the World,MOVIE,2020,43,0.0,5.9,23.0,US,1,documentation,1,11,11
Nicole Burch: Never Been Kissed,MOVIE,2020,49,0.0,7.7,27.0,,1,comedy,1,67,67
Evil Everywhere,MOVIE,2019,64,0.0,3.4,56.0,US,1,comedy,4,2,2
Sawah,MOVIE,2019,86,0.0,7.0,2296.0,EG,3,drama,3,-1,-1
Scarecrow County,MOVIE,2019,75,0.0,3.6,67.0,US,1,thriller,2,3,3
Break Even,MOVIE,2020,95,0.0,5.1,941.0,,1,action,1,57,57
Chicago at the Crossroad,MOVIE,2019,60,0.0,6.5,58.0,US,1,documentation,2,11,11
The Making of America's Most Dangerous City,MOVIE,2020,57,0.0,5.8,18.0,,1,documentation,1,143,143
3Bobule,MOVIE,2020,96,0.0,5.2,154.0,CZ,1,comedy,2,-1,-1
Monster,MOVIE,2019,139,0.0,6.1,464.0,IN,1,drama,1,40,40
Safe Inside,MOVIE,2019,97,0.0,4.8,215.0,PL,1,thriller,2,-1,-1
Big House,MOVIE,2020,84,0.0,4.9,67.0,GB,1,drama,2,16,16
Mask of Thorn,MOVIE,2019,102,0.0,2.9,406.0,GB,1,horror,1,42,42
Space Dogs: Tropical Adventure,MOVIE,2020,80,0.0,4.5,128.0,RU,1,animation,3,-1,-1
Brother's Day,MOVIE,2019,165,0.0,4.4,832.0,IN,1,action,4,59,59
Fish in a Barrel,MOVIE,2020,87,0.0,6.1,464.0,,1,documentation,1,143,143
